SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6025522,MERCED,PUBLIC,LIVINGSTON UNION,LIVINGSTON,SELMA HERNDON ELEMENTARY,131,0,1,129
6109649,MERCED,PUBLIC,LIVINGSTON UNION,LIVINGSTON,YAMATO COLONY ELEMENTARY,90,0,0,90
6025530,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,CHARLESTON ELEMENTARY,47,0,0,47
119073,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,CROSSROADS ALTERNATIVE EDUCATION CENTER, ,,,
125575,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,GREEN VALLEY CHARTER,22,0,1,21
6025548,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,HENRY MILLER ELEMENTARY,173,0,2,170
102624,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,LORENA FALASCO ELEMENTARY,112,0,1,110
6025555,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,LOS BANOS ELEMENTARY,147,0,6,140
127597,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,MERCEY SPRINGS ELEMENTARY,46,0,0,46
6025563,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,R. M. MIANO ELEMENTARY,121,0,2,108
6025571,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,VOLTA ELEMENTARY,55,0,0,55
6116156,MERCED,PUBLIC,LOS BANOS UNIFIED,LOS BANOS,WESTSIDE UNION ELEMENTARY,139,0,3,136
6025589,MERCED,PUBLIC,MCSWAIN UNION ELEMENTARY,MERCED,MCSWAIN ELEMENTARY,110,0,3,88
6025597,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,ADA GIVENS ELEMENTARY,92,0,0,92
6107908,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,ALICIA REYES ELEMENTARY,124,0,0,124
6105647,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,ALLAN PETERSON ELEMENTARY,116,0,0,116
6025605,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,CHARLES WRIGHT ELEMENTARY,128,0,1,126
6115729,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,DON STOWELL ELEMENTARY,100,0,0,99
6025613,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,DONN B. CHENOWETH ELEMENTARY,154,0,0,149
6025621,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,FRANKLIN ELEMENTARY,183,0,3,178
6025654,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,JOHN C. FREMONT CHARTER,80,0,1,78
6025662,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,JOHN MUIR ELEMENTARY,95,0,1,93
6105852,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,LEONTINE GRACEY ELEMENTARY,110,0,0,107
6025670,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,LUTHER BURBANK ELEMENTARY,116,0,1,111
6025688,MERCED,PUBLIC,MERCED CITY ELEMENTARY,MERCED,MARGARET SHEEHY ELEMENTARY,92,1,0,90
2430056,MERCED,PUBLIC,MERCED COUNTY OFFICE OF EDUCATION,MERCED,MERCED COUNTY JUVENILE HALL COMMUNITY, ,,,
6069199,MERCED,PUBLIC,MERCED COUNTY OFFICE OF EDUCATION,MERCED,MERCED COUNTY SPECIAL EDUCATION,56,0,0,51
2430148,MERCED,PUBLIC,MERCED COUNTY OFFICE OF EDUCATION,MERCED,VALLEY COMMUNITY, ,,,
6025480,MERCED,PUBLIC,MERCED RIVER UNION ELEMENTARY,SNELLING,HOPETON ELEMENTARY,20,0,2,18
6025779,MERCED,PUBLIC,PLAINSBURG UNION ELEMENTARY,MERCED,PLAINSBURG UNION ELEMENTARY,12,0,1,11
6025787,MERCED,PUBLIC,PLANADA ELEMENTARY,PLANADA,PLANADA ELEMENTARY,113,0,0,113
6025795,MERCED,PUBLIC,SNELLING-MERCED FALLS UNION ELEMENTARY,SNELLING,SNELLING-MERCED FALLS ELEMENTARY, ,,,
